2003-08-06-0	2003-08-06-0/data024-gdf/data024-cg-1
2006-04-24-1	2006-04-24-1/data002-mg/data002
2006-04-24-2	2006-04-24-2/data001
2006-04-24-3	2006-04-24-3/data008-mg/data008
2006-04-24-4	2006-04-24-4/streamed/data000
2006-04-26-0	2006-04-26-0/data001
2006-04-26-1	2006-04-26-1/data005
2006-05-04-3	2006-05-04-3/data000-nwpca/data000
2006-05-04-4	2006-05-04-4/data006-mg/data006
2006-05-05-0	2006-05-05-0/data005
2006-05-05-1	2006-05-05-1/data002
2006-05-05-2	2006-05-05-2/data000
2006-05-05-3	2006-05-05-3/data002
2006-05-05-4	2006-05-05-4/data002
2006-05-22-0	2006-05-22-0/data002-mg/data002
2006-05-22-1	2006-05-22-1/data002
2006-05-22-2	2006-05-22-2/data006/data006-map
2006-05-22-3	2006-05-22-3/data002
2006-05-22-5	2006-05-22-5/data005
2006-06-02-1	2006-06-02-1/streamed/data006
2006-06-06-0	2006-06-06-0/streamed/data004
2006-06-06-1	2006-06-06-1/data000-mg/data000
2006-06-06-2	2006-06-06-2/data012
2006-06-06-3	2006-06-06-3/data004
2006-06-12-0	2006-06-12-0/data004
2006-06-14-0	2006-06-14-0/data008
2006-06-14-2	2006-06-14-2/data008
2006-06-15-0	2006-06-15-0/data003
2006-06-15-2	2006-06-15-2/data005
2006-06-26-0	2006-06-26-0/data012-mg/data012
2006-06-28-1	2006-06-28-1/data003-mg/data003
2006-07-05-0	2006-07-05-0/data010
2006-07-05-1	2006-07-05-1/data011-js/data011-js
2006-07-07-0	2006-07-07-0/data001-pca/data001
2006-07-07-1	2006-07-07-1/data004
2006-07-07-2	2006-07-07-2/streamed/data005
2006-07-10-0	2006-07-10-0/data005
2006-07-10-2	2006-07-10-2/data007
2006-07-12-0	2006-07-12-0/data014
2006-07-12-1	2006-07-12-1/data000-mg/data000
2006-07-12-2	2006-07-12-2/data005
2006-07-14-0	2006-07-14-0/data000
2006-09-22-1	2006-09-22-1/data001-mg/data001
2006-09-22-2	2006-09-22-2/data001-mg/data001
2006-09-26-9	2006-09-26-9/data000
2006-11-01-1	2006-11-01-1/streamed/data000
2006-11-01-6	2006-11-01-6/data001
2006-11-08-0	2006-11-08-0/data013-pca/data013
2006-11-08-1	2006-11-08-1/streamed/data000
2006-11-08-2	2006-11-08-2/data013-5dot0
2006-11-17-0	2006-11-17-0/streamed/data001
2006-11-17-1	2006-11-17-1/data003
2006-11-17-2	2006-11-17-2/data007
2006-11-17-3	2006-11-17-3/streamed/data000
2006-11-20-0	2006-11-20-0/streamed/data000
2006-11-20-1	2006-11-20-1/data002
2006-11-20-3	2006-11-20-3/streamed/data000
2006-11-20-4	2006-11-20-4/data006
2006-11-27-0	2006-11-27-0/data001
2006-11-27-1	2006-11-27-1/data000
2006-11-27-2	2006-11-27-2/data006
2006-12-04-0	2006-12-04-0/streamed/data000
2006-12-04-2	2006-12-04-2/streamed/data004
2007-01-23-0	2007-01-23-0/data003
2007-01-23-2	2007-01-23-2/streamed/data006
2007-01-23-5	2007-01-23-5/data010
2007-01-23-6	2007-01-23-6/data003
2007-02-06-0	2007-02-06-0/data002-mg
2007-02-06-3	2007-02-06-3/data008-gdf/data008
2007-02-06-5	2007-02-06-5/data007-mg/data007
2007-03-01-0	2007-03-01-0/data006-gdf
2007-03-01-1	2007-03-01-1/data000
2007-03-01-2	2007-03-01-2/data005
2007-03-01-3	2007-03-01-3/streamed/data006
2007-03-02-1	2007-03-02-1/data016-gdf/data016
2007-03-02-2	2007-03-02-2/data005
2007-03-08-1	2007-03-08-1/data011
2007-03-08-2	2007-03-08-2/data000-mg/data000
2007-03-08-3	2007-03-08-3/data012-gdf
2007-03-16-0	2007-03-16-0/data003
2007-03-16-1	2007-03-16-1/data006
2007-03-16-2	2007-03-16-2/data003
2007-03-16-3	2007-03-16-3/data011
2007-03-27-0	2007-03-27-0/data008
2007-03-27-1	2007-03-27-1/pipeline_classification/data020
2007-03-27-2	2007-03-27-2/data015
2007-03-27-3	2007-03-27-3/streamed/data008
2007-05-01-1	2007-05-01-1/data000
2007-05-01-2	2007-05-01-2/data000
2007-05-01-3	2007-05-01-3/data008
2007-08-21-1	2007-08-21-1/data004
2007-08-21-2	2007-08-21-2/data001
2007-08-21-3	2007-08-21-3/data004
2007-08-21-4	2007-08-21-4/streamed/data000
2007-08-21-5	2007-08-21-5/data000-mg/data000
2007-08-24-0	2007-08-24-0/data000-mg/data000
2007-08-24-1	2007-08-24-1/pipeline_classification/data001
2007-08-24-2	2007-08-24-2/data000
2007-08-24-4	2007-08-24-4/streamed/data012
2007-08-24-5	2007-08-24-5/Streamed/data001
2007-08-24-6	2007-08-24-6/data006
2007-09-18-0	2007-09-18-0/data000
2007-09-18-1	2007-09-18-1/data011-mg/data011
2007-09-18-2	2007-09-18-2/data002
2007-09-18-5	2007-09-18-5/data010-nwpca/data010
2007-09-18-7	2007-09-18-7/data003
2008-03-25-0	2008-03-25-0/streamed/data000
2008-03-25-1	2008-03-25-1/streamed/data009
2008-03-25-5	2008-03-25-5/data284
2008-03-25-6	2008-03-25-6/streamed/data000
2008-03-25-7	2008-03-25-7/data000
2008-04-08-0	2008-04-08-0/streamed/data002
2008-04-08-1	2008-04-08-1/streamed/data025
2008-04-08-2	2008-04-08-2/streamed/data004
2008-04-16-0	2008-04-16-0/streamed/data001
2008-04-16-1	2008-04-16-1/streamed/data002
2008-04-16-2	2008-04-16-2/streamed/data000
2008-04-22-0	2008-04-22-0/streamed/data011
2008-04-22-2	2008-04-22-2/data215
2008-04-22-3	2008-04-22-3/streamed/data004
2008-04-22-5	2008-04-22-5/streamed/data007
2008-04-22-6	2008-04-22-6/streamed/data000
2008-04-30-1	2008-04-30-1/streamed/data001
2008-04-30-2	2008-04-30-2/streamed/data005
2008-04-30-3	2008-04-30-3/streamed/data001
2008-05-13-0	2008-05-13-0/streamed/data004
2008-05-13-1	2008-05-13-1/streamed/data000
2008-05-13-2	2008-05-13-2/streamed/data010
2008-05-13-3	2008-05-13-3/streamed/data016
2008-06-10-0	2008-06-10-0/streamed/data027
2008-06-10-1	2008-06-10-1/streamed/data000
2008-06-10-2	2008-06-10-2/data000
2008-06-10-3	2008-06-10-3/data000
2008-06-10-4	2008-06-10-4/streamed/data001
2008-06-10-5	2008-06-10-5/streamed/data002
2008-07-07-3	2008-07-07-3/data005
2008-07-07-4	2008-07-07-4/stream/data000
2008-08-26-0	2008-08-26-0/data009
2008-08-26-2	2008-08-26-2/streamed/data007
2008-08-27-0	2008-08-27-0/streamed/data002
2008-08-27-4	2008-08-27-4/data008
2008-10-11-0	2008-10-11-0/streamed/data000
2008-10-11-1	2008-10-11-1/streamed/data003
2008-11-10-0	2008-11-10-0/data013/data013
2008-11-10-1	2008-11-10-1/streamed/data001
2008-11-10-2	2008-11-10-2/data000
2008-11-10-3	2008-11-10-3/data012
2008-11-10-4	2008-11-10-4/streamed/data009
2008-11-12-3	2008-11-12-3/data000
2008-12-12-0	2008-12-12-0/streamed/data005/data005
2008-12-12-1	2008-12-12-1/streamed/data003
2009-02-28-0	2009-02-28-0/streamed/data013
2009-02-28-2	2009-02-28-2/data010
2009-04-13-0	2009-04-13-0/streamed/data011
2009-04-13-1	2009-04-13-1/streamed/data005
2009-04-13-4	2009-04-13-4/streamed/data006
2009-04-13-6	2009-04-13-6/data000
2009-04-13-7	2009-04-13-7/streamed/data001
2009-11-14-0	2009-11-14-0/streamed/data002
2009-11-14-2	2009-11-14-2/streamed/data000
2009-12-03-0	2009-12-03-0/data003
2009-12-03-1	2009-12-03-1/data000
2009-12-03-2	2009-12-03-2/streamed/data000
2009-12-03-3	2009-12-03-3/streamed/data000
2010-03-05-2	2010-03-05-2/streamed/data018
2010-03-05-3	2010-03-05-3/data003
2010-05-08-1	2010-05-08-1/data000
2010-08-20-1	2010-08-20-1/data011-nwpca
2010-09-24-1	2010-09-24-1/streamed/data039
2010-10-18-0	2010-10-18-0/data005
2010-10-18-1	2010-10-18-1/streamed/data001
2010-10-18-2	2010-10-18-2/data008
2010-10-18-3	2010-10-18-3/data020
2010-10-18-4	2010-10-18-4/streamed/data001
2010-10-18-5	2010-10-18-5/streamed/data000
2010-10-18-6	2010-10-18-6/streamed/data012
2010-10-18-7	2010-10-18-7/data011
2010-10-28-2	2010-10-28-2/data004
2010-11-22-0	2010-11-22-0/streamed/data005
2010-11-22-1	2010-11-22-1/data015
2010-11-22-2	2010-11-22-2/streamed/data015
2010-11-22-3	2010-11-22-3/data005
2010-11-22-4	2010-11-22-4/data000-nwpca
2010-11-22-5	2010-11-22-5/data009
2011-01-11-0	2011-01-11-0/data034
2011-01-11-1	2011-01-11-1/streamed/data010
2011-01-11-2	2011-01-11-2/streamed/data007
2011-01-11-3	2011-01-11-3/data009-nwpca
2011-01-19-0	2011-01-19-0/streamed/data004
2011-01-26-5	2011-01-26-5/data001
2011-01-26-8	2011-01-26-8/streamed/data000
2011-04-29-2	2011-04-29-2/data006
2011-05-11-3	2011-05-11-3/data005
2011-05-11-5	2011-05-11-5/data004
2011-05-11-6	2011-05-11-6/streamed/data010
2011-05-11-8	2011-05-11-8/data006
2011-06-24-0	2011-06-24-0/data006
2011-06-24-1	2011-06-24-1/streamed/data001
2011-06-24-3	2011-06-24-3/streamed/data006
2011-06-24-4	2011-06-24-4/streamed/data010
2011-06-24-5	2011-06-24-5/data009
2011-06-24-6	2011-06-24-6/streamed/data008
2011-06-30-0	2011-06-30-0/streamed/data011
2011-06-30-2	2011-06-30-2/streamed/data002
2011-07-05-0	2011-07-05-0/data020
2011-07-05-1	2011-07-05-1/streamed/data001
2011-07-05-2	2011-07-05-2/streamed/data000
2011-07-05-3	2011-07-05-3/streamed/data000
2011-07-05-4	2011-07-05-4/streamed/data011
2011-07-05-5	2011-07-05-5/data006
2011-07-14-0	2011-07-14-0/data005
2011-07-14-2	2011-07-14-2/data000
2011-07-14-3	2011-07-14-3/data003
2011-07-14-4	2011-07-14-4/data013-nwpca
2011-07-14-5	2011-07-14-5/data000
2011-07-14-6	2011-07-14-6/streamed/data008
2011-08-01-0	2011-08-01-0/data009
2011-08-01-1	2011-08-01-1/data003
2011-08-01-2	2011-08-01-2/streamed/data000-0
2011-08-01-3	2011-08-01-3/data000
2011-08-04-0	2011-08-04-0/data005
2011-08-04-2	2011-08-04-2/streamed/data008
2011-08-04-3	2011-08-04-3/data000
2011-08-04-4	2011-08-04-4/streamed/data000-0
2011-08-04-6	2011-08-04-6/streamed/data002-0
2011-08-04-7	2011-08-04-7/streamed/data000-0
2011-08-04-8	2011-08-04-8/streamed/data000-0
2011-10-14-0	2011-10-14-0/data006
2011-10-14-2	2011-10-14-2/streamed/data000
2011-10-14-3	2011-10-14-3/streamed/data000
2011-10-14-4	2011-10-14-4/streamed/data000
2011-10-25-0	2011-10-25-0/streamed/data008-0
2011-10-25-1	2011-10-25-1/data004
2011-10-25-2	2011-10-25-2/data001
2011-10-25-3	2011-10-25-3/data000
2011-10-25-4	2011-10-25-4/data000
2011-10-25-5	2011-10-25-5/streamed/data008
2011-10-25-6	2011-10-25-6/streamed/data005
2011-10-25-7	2011-10-25-7/data011
2011-10-25-8	2011-10-25-8/streamed/data000
2011-10-25-9	2011-10-25-9/streamed/data013
2011-12-04-0	2011-12-04-0/data000
2011-12-04-1	2011-12-04-1/streamed/data008-0
2011-12-13-0	2011-12-13-0/data005
2011-12-13-1	2011-12-13-1/streamed/data001
2011-12-13-2	2011-12-13-2/streamed/data023-0
2012-01-27-1	2012-01-27-1/streamed/data002
2012-01-27-2	2012-01-27-2/data000
2012-01-27-4	2012-01-27-4/streamed/data006
2012-01-27-5	2012-01-27-5/streamed/data001
2012-04-13-0	2012-04-13-0/streamed/data001
2012-04-13-1	2012-04-13-1/streamed/data002
2012-04-13-5	2012-04-13-5/streamed/data001
2012-07-26-0	2012-07-26-0/streamed/data000
2012-07-26-1	2012-07-26-1/streamed/data000
2012-08-09-1	2012-08-09-1/streamed/data004
2012-08-09-2	2012-08-09-2/data000
2012-08-09-3	2012-08-09-3/streamed/data001
2012-08-21-0	2012-08-21-0/streamed/data001
2012-09-13-0	2012-09-13-0/data003
2012-09-13-2	2012-09-13-2/streamed/data009
2012-09-18-0	2012-09-18-0/streamed/data005
2012-09-18-2	2012-09-18-2/data000
2012-09-18-3	2012-09-18-3/streamed/data005
2012-09-18-5	2012-09-18-5/data000
2012-09-21-0	2012-09-21-0/streamed/data003
2012-09-21-1	2012-09-21-1/streamed/data000
2012-09-21-2	2012-09-21-2/streamed/data017
2012-09-21-3	2012-09-21-3/data004
2012-09-24-0	2012-09-24-0/data006
2012-09-24-1	2012-09-24-1/streamed/data000
2012-09-24-5	2012-09-24-5/streamed/data000
2012-09-27-0	2012-09-27-0/data000
2012-09-27-1	2012-09-27-1/streamed/data011
2012-09-27-4	2012-09-27-4/data007
2012-09-27-5	2012-09-27-5/streamed/data007
2012-09-27-6	2012-09-27-6/streamed/data000
2012-09-27-7	2012-09-27-7/streamed/data000
2012-12-13-3	2012-12-13-3/data000
2013-01-23-0	2013-01-23-0/streamed/untitledfolder/data000
2013-01-23-1	2013-01-23-1/streamed/backup/data002
2013-01-23-2	2013-01-23-2/data000
2013-01-23-6	2013-01-23-6/streamed/data000
2013-01-23-7	2013-01-23-7/streamed/data002
2013-01-28-1	2013-01-28-1/streamed/data008
2013-03-11-0	2013-03-11-0/streamed/data000
2013-03-11-1	2013-03-11-1/streamed/data016
2013-04-30-1	2013-04-30-1/data000
2013-05-28-0	2013-05-28-0/streamed/data003
2013-05-28-2	2013-05-28-2/data000
2013-05-28-3	2013-05-28-3/data010
2013-05-28-5	2013-05-28-5/data002
2013-05-28-6	2013-05-28-6/data000
2013-05-28-7	2013-05-28-7/data002
2013-05-28-9	2013-05-28-9/data000
2013-06-18-0	2013-06-18-0/streamed/data000
2013-06-18-10	2013-06-18-10/streamed/data000
2013-06-18-2	2013-06-18-2/streamed/data000
2013-06-18-4	2013-06-18-4/data002
2013-06-18-6	2013-06-18-6/streamed/data000
2013-06-18-7	2013-06-18-7/data000
2013-06-18-9	2013-06-18-9/data000
2013-08-19-0	2013-08-19-0/data001
2013-08-19-2	2013-08-19-2/streamed/data001
2013-08-19-3	2013-08-19-3/data000-jdc
2013-08-19-4	2013-08-19-4/streamed/data001
2013-08-19-5	2013-08-19-5/streamed/data004
2013-08-19-7	2013-08-19-7/streamed/data000
2013-10-10-0	2013-10-10-0/streamed/data000
2013-10-10-1	2013-10-10-1/streamed/data000
2013-10-10-2	2013-10-10-2/streamed/data000
2013-10-10-3	2013-10-10-3/data000
2013-10-10-5	2013-10-10-5/streamed/data005
2013-10-10-6	2013-10-10-6/data000-jdc
2013-10-15-0	2013-10-15-0/streamed/data000
2013-10-15-1	2013-10-15-1/streamed/data003
2013-10-15-3	2013-10-15-3/streamed/data003
2013-10-15-5	2013-10-15-5/streamed/data000
2014-04-10-0	2014-04-10-0/data003
2014-04-10-2	2014-04-10-2/data002
2014-04-15-3	2014-04-15-3/data000
2014-04-15-4	2014-04-15-4/data000
2014-06-04-0	2014-06-04-0/data006
2014-06-04-2	2014-06-04-2/data001
2014-06-04-3	2014-06-04-3/data006
2014-06-04-7	2014-06-04-7/streamed/data002
2014-06-04-8	2014-06-04-8/data007
2014-09-10-0	2014-09-10-0/data000
2014-11-05-0	2014-11-05-0/streamed/data001
2014-11-05-2	2014-11-05-2/data009_nps
2014-11-05-3	2014-11-05-3/data000
2014-11-05-6	2014-11-05-6/streamed/data002
2014-11-05-8	2014-11-05-8/data001
2014-11-24-0	2014-11-24-0/streamed/data000
2014-11-24-1	2014-11-24-1/streamed/data002
2014-11-24-2	2014-11-24-2/streamed/data001
2015-02-24-2	2015-02-24-2/streamed/data002
2015-03-09-2	2015-03-09-2/streamed/data038
2015-03-09-3	2015-03-09-3/streamed/data008
2015-03-09-7	2015-03-09-7/streamed/data003
2015-04-09-1	2015-04-09-1/data029
2015-04-09-2	2015-04-09-2/data011
2015-04-09-3	2015-04-09-3/data002
2015-04-14-0	2015-04-14-0/data005
2015-04-14-1	2015-04-14-1/data004
2015-05-27-0	2015-05-27-0/data003
2015-05-27-10	2015-05-27-10/streamed/data002
2015-05-27-3	2015-05-27-3/streamed/data001
2015-05-27-5	2015-05-27-5/streamed/data016
2015-05-27-7	2015-05-27-7/streamed/data000
2015-08-17-1	2015-08-17-1/data034
2015-09-23-0	2015-09-23-0/streamed/data017
2015-09-23-1	2015-09-23-1/streamed/data013
2015-09-23-3	2015-09-23-3/data005
2015-09-23-4	2015-09-23-4/streamed/data013
2015-09-23-5	2015-09-23-5/data001
2015-09-23-7	2015-09-23-7/streamed/data019
2015-09-23-8	2015-09-23-8/data000
2015-10-06-0	2015-10-06-0/streamed/data050/data050
2015-10-06-2	2015-10-06-2/streamed/data012
2015-10-06-6	2015-10-06-6/data002
2015-10-29-1	2015-10-29-1/streamed/data012
2015-10-29-2	2015-10-29-2/streamed/data051
2015-10-29-3	2015-10-29-3/data008
2015-10-29-6	2015-10-29-6/data007
2015-10-29-7	2015-10-29-7/streamed/data012
2015-11-09-1	2015-11-09-1/streamed/data009
2015-11-09-2	2015-11-09-2/data000
2015-11-09-8	2015-11-09-8/streamed/data030
2015-12-18-0	2015-12-18-0/data000
2015-12-18-2	2015-12-18-2/streamed/data015
2016-01-05-1	2016-01-05-1/streamed/data017
2016-01-05-3	2016-01-05-3/streamed/data003
2016-01-05-4	2016-01-05-4/data000
2016-01-05-5	2016-01-05-5/data013
2016-01-05-6	2016-01-05-6/data000
2016-02-17-0	2016-02-17-0/data004
2016-02-17-1	2016-02-17-1/streamed/data028
2016-02-17-3	2016-02-17-3/vision-output/data000
2016-02-17-4	2016-02-17-4/yass/data002/odd/data002
2016-02-17-5	2016-02-17-5/data000
2016-02-17-6	2016-02-17-6/data000
2016-02-17-8	2016-02-17-8/streamed/data011
2016-03-17-3	2016-03-17-3/streamed/data001
2016-03-17-4	2016-03-17-4/data000
2016-04-21-0	2016-04-21-0/streamed/data002
2016-04-21-1	2016-04-21-1/streamed/data015
2016-04-21-8	2016-04-21-8/streamed/data021
2016-04-21-9	2016-04-21-9/streamed/data002
2016-06-13-0	2016-06-13-0/data004
2016-06-13-4	2016-06-13-4/data024
2016-06-13-6	2016-06-13-6/data000-quantile/data000
2016-06-13-8	2016-06-13-8/data000
2016-06-13-9	2016-06-13-9/data000
2016-10-04-0	2016-10-04-0/data001
2016-10-31-3	2016-10-31-3/data016
2017-01-26-1	2017-01-26-1/streamed/data002
2017-01-26-2	2017-01-26-2/data003
2017-01-26-3	2017-01-26-3/data012
2017-01-26-6	2017-01-26-6/streamed/data000
2017-03-15-8	2017-03-15-8/data038
2017-04-25-1	2017-04-25-1/streamed/data003
2017-04-25-3	2017-04-25-3/data005
2017-04-25-4	2017-04-25-4/data007
2017-07-27-1	2017-07-27-1/data002
2017-08-14-0	2017-08-14-0/streamed/data007
2017-08-14-2	2017-08-14-2/data004
2017-08-14-4	2017-08-14-4/data005
2017-08-17-0	2017-08-17-0/data178
2017-08-17-3	2017-08-17-3/data010-streamed/data010
2017-10-26-0	2017-10-26-0/data000
2017-10-26-1	2017-10-26-1/streamed/data002
2017-10-26-3	2017-10-26-3/data013
2017-10-26-4	2017-10-26-4/data004
2017-10-30-2	2017-10-30-2/data002
2017-10-30-3	2017-10-30-3/mVision/data001
2017-10-30-4	2017-10-30-4/data002
2017-11-20-0	2017-11-20-0/data001
2017-11-20-1	2017-11-20-1/data003
2017-11-20-7	2017-11-20-7/data007
2017-11-20-8	2017-11-20-8/data001/data001
2017-11-29-0	2017-11-29-0/mVision/data001
2017-11-29-1	2017-11-29-1/streamed/data000
2017-11-29-4	2017-11-29-4/streamed/data011
2017-12-04-1	2017-12-04-1/data003
2017-12-04-2	2017-12-04-2/streamed/data005
2017-12-04-3	2017-12-04-3/data000
2017-12-04-5	2017-12-04-5/mVision/data005
2017-12-04-6	2017-12-04-6/streamed/data002
2018-01-26-0	2018-01-26-0/data000
2018-02-06-0	2018-02-06-0/data002
2018-02-06-2	2018-02-06-2/streamed/data017
2018-02-06-7	2018-02-06-7/data003
2018-02-09-3	2018-02-09-3/data000
2018-02-09-4	2018-02-09-4/data001
2018-02-09-5	2018-02-09-5/streamed/data000
2018-02-09-7	2018-02-09-7/data003
2018-03-01-4	2018-03-01-4/streamed/data000
2018-03-01-5	2018-03-01-5/data003
2018-03-01-8	2018-03-01-8/data002
2018-04-18-3	2018-04-18-3/data009
2018-08-07-1	2018-08-07-1/streamed/data002
2018-08-07-2	2018-08-07-2/data000
2018-08-07-5	2018-08-07-5/data000
2018-08-07-6	2018-08-07-6/data000
2018-08-07-9	2018-08-07-9/data000
